SampleNumber,DateCollected,Coordinates,SampleName,Reef,Site,Habitat,Condition,Group,HealthScore,Folder,Wells,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6
1,44977,"-16.385823, 145.556467",LI F1,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 1-4,1-6,24.1,25.6,29.2,33.5,37.6,40.2
2,44977,"-16.385823, 145.556467",LI F2,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 1-4,7-12,24.1,25.6,29.2,33.5,37.6,40.2
3,44977,"-16.385823, 145.556467",LI F3,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 1-4,13-18,24.1,25.6,29.2,33.5,37.6,40.2
4,44977,"-16.385823, 145.556467",LI F4,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 1-4,19-24,24.1,25.6,29.2,33.5,37.6,40.2
5,44977,"-16.385823, 145.556467",LI F5,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 5-8,1-6,24.1,25.6,29.2,33.5,37.6,40.2
6,44977,"-16.385823, 145.556467",LI F6,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 5-8,7-12,24.1,25.6,29.2,33.5,37.6,40.2
7,44977,"-16.385823, 145.556467",LI F7,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 5-8,13-18,24.1,25.6,29.2,33.5,37.6,40.2
8,44977,"-16.385823, 145.556467",LI F8,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 5-8,19-24,24.1,25.6,29.2,33.5,37.6,40.2
9,44977,"-16.385823, 145.556467",LI F9,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 9-12,1-6,23.5,25.3,28.5,32.2,35.6,36.5
10,44977,"-16.385823, 145.556467",LI F10,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 9-12,7-12,23.5,25.3,28.5,32.2,35.6,36.5
11,44977,"-16.385823, 145.556467",LI F11,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 9-12,13-18,23.5,25.3,28.5,32.2,35.6,36.5
12,44977,"-16.385823, 145.556467",LI F12,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 9-12,19-24,23.5,25.3,28.5,32.2,35.6,36.5
13,44977,"-16.385823, 145.556467",LI F13,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 13-16,1-6,23.5,25.3,28.5,32.2,35.6,36.5
14,44977,"-16.385823, 145.556467",LI F14,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 13-16,7-12,23.5,25.3,28.5,32.2,35.6,36.5
15,44977,"-16.385823, 145.556467",LI F15,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 13-16,13-18,23.5,25.3,28.5,32.2,35.6,36.5
16,44977,"-16.385823, 145.556467",LI F16,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,N/A,Low Isles/2023 02 20/Flat 13-16,19-24,23.5,25.3,28.5,32.2,35.6,36.5
17,44981,"-16.385823, 145.556467",LI F17,Low Isles,Near transplant blocks,Reef flat,Pale,Low Isles flat pale,C2,Low Isles/2023 02 24/Flat 17-20,1-6,24.5,29.5,31.5,34.5,35.75,37
18,44981,"-16.385823, 145.556467",LI F18,Low Isles,Near transplant blocks,Reef flat,Pale,Low Isles flat pale,C2,Low Isles/2023 02 24/Flat 17-20,7-12,24.5,29.5,31.5,34.5,35.75,37
19,44981,"-16.385823, 145.556467",LI F19,Low Isles,Near transplant blocks,Reef flat,Pale,Low Isles flat pale,C2,Low Isles/2023 02 24/Flat 17-20,13-18,24.5,29.5,31.5,34.5,35.75,37
20,44981,"-16.385823, 145.556467",LI F20,Low Isles,Near transplant blocks,Reef flat,Pale,Low Isles flat pale,E2,Low Isles/2023 02 24/Flat 17-20,19-24,24.5,29.5,31.5,34.5,35.75,37
21,44981,"-16.385823, 145.556467",LI F21,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,D4,Low Isles/2023 02 24/Flat 21-24,1-6,24.5,29.5,31.5,34.5,35.75,37
22,44981,"-16.385823, 145.556467",LI F22,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,D5,Low Isles/2023 02 24/Flat 21-24,7-12,24.5,29.5,31.5,34.5,35.75,37
23,44981,"-16.385823, 145.556467",LI F23,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,D5,Low Isles/2023 02 24/Flat 21-24,13-18,24.5,29.5,31.5,34.5,35.75,37
24,44981,"-16.385823, 145.556467",LI F24,Low Isles,Near transplant blocks,Reef flat,Healthy,Low Isles flat,C5,Low Isles/2023 02 24/Flat 21-24,19-24,24.5,29.5,31.5,34.5,35.75,37
25,44977,"-16.380244, 145.566101",LI S1,Low Isles,Back of boat slope to Woody Isle,Reef slope,Healthy,Low Isles slope,N/A,Low Isles/2023 02 20/Slope 1-4,1-6,23.5,25.3,28.5,32.2,35.6,36.5
26,44977,"-16.380244, 145.566101",LI S2,Low Isles,Back of boat slope to Woody Isle,Reef slope,Healthy,Low Isles slope,N/A,Low Isles/2023 02 20/Slope 1-4,7-12,23.5,25.3,28.5,32.2,35.6,36.5
27,44977,"-16.380244, 145.566101",LI S3,Low Isles,Back of boat slope to Woody Isle,Reef slope,Healthy,Low Isles slope,N/A,Low Isles/2023 02 20/Slope 1-4,13-18,23.5,25.3,28.5,32.2,35.6,36.5
28,44977,"-16.380244, 145.566101",LI S4,Low Isles,Back of boat slope to Woody Isle,Reef slope,Healthy,Low Isles slope,N/A,Low Isles/2023 02 20/Slope 1-4,19-24,23.5,25.3,28.5,32.2,35.6,36.5
